name;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;logHNR_sma;audspec_lengthL1norm_sma;audspecRasta_lengthL1norm_sma;pcm_RMSenergy_sma;pcm_zcr_sma;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12];mfcc_sma[13];mfcc_sma[14];F0final_sma_de;voicingFinalUnclipped_sma_de;jitterLocal_sma_de;jitterDDP_sma_de;shimmerLocal_sma_de;logHNR_sma_de;audspec_lengthL1norm_sma_de;audspecRasta_lengthL1norm_sma_de;pcm_RMSenergy_sma_de;pcm_zcr_sma_de;mfcc_sma_de[1];mfcc_sma_de[2];mfcc_sma_de[3];mfcc_sma_de[4];mfcc_sma_de[5];mfcc_sma_de[6];mfcc_sma_de[7];mfcc_sma_de[8];mfcc_sma_de[9];mfcc_sma_de[10];mfcc_sma_de[11];mfcc_sma_de[12];mfcc_sma_de[13];mfcc_sma_de[14]
'unknown';0.160000;0;5.806522e-01;0;0;0;-100;6.294081e-02;3.870227e+00;1.260608e-03;7.472222e-01;-2.567861e+01;1.231888e+01;-1.050146e+01;-8.198871e+00;-3.523364e-01;-3.767128e+00;9.068860e+00;-8.553635e-01;1.963177e+00;-1.800296e+00;-5.101652e+00;-1.062943e+01;3.021871e+00;-1.465875e+01;0;0;0;0;0;0;8.830990e-03;3.646898e-01;2.797409e-04;1.673611e-02;-2.984993e+00;4.503001e-01;8.931097e-01;-3.912776e-01;-8.890772e-01;2.230735e+00;1.411204e+00;2.953812e+00;1.134792e+00;2.982954e+00;-7.123116e-01;-1.086746e+00;-4.221895e+00;2.814622e-01
'unknown';0.170000;0;5.773632e-01;0;0;0;-100;7.245612e-02;4.193520e+00;1.563390e-03;7.597222e-01;-2.902660e+01;1.248374e+01;-9.949529e+00;-1.170006e+01;4.066241e+00;1.389365e+00;1.132272e+01;1.021728e+01;5.846384e+00;4.843101e+00;-6.188730e+00;-7.178009e+00;-3.201403e-01;-9.202258e+00;0;2.835598e-04;0;0;0;0;7.935144e-03;2.535379e-01;3.079899e-04;1.208333e-02;-1.664346e+00;3.946699e-01;-2.570034e-01;6.045718e-01;4.718822e-01;3.568862e+00;8.049964e-01;3.352580e+00;1.405409e+00;3.497407e+00;3.069355e+00;1.237592e+00;-1.652062e+00;1.729671e+00
'unknown';0.180000;0;6.078740e-01;0;0;0;-100;8.081570e-02;4.395172e+00;1.904774e-03;7.680556e-01;-2.803358e+01;1.105088e+01;-1.310044e+01;-8.751979e+00;4.051335e+00;4.837357e+00;1.308838e+01;9.775296e+00;4.447575e+00;6.800889e+00;2.006128e+00;-6.699812e+00;-3.890205e+00;-7.507193e+00;0;1.821842e-03;0;0;0;0;6.521781e-03;1.225890e-01;3.088570e-04;6.597215e-03;-3.778296e-01;1.038797e+00;-7.056273e-01;1.047254e+00;4.712637e-01;2.500462e+00;-5.781026e-01;1.043744e+00;9.135950e-01;1.131963e+00;4.199618e+00;2.161793e+00;1.460099e+00;2.303370e+00
'unknown';0.190000;0;6.453930e-01;0;0;0;-100;8.541376e-02;4.447370e+00;2.246449e-03;7.770833e-01;-2.921410e+01;1.448485e+01;-1.295233e+01;-5.126119e+00;4.486326e+00;7.720560e+00;8.178256e+00;1.120781e+01;8.107426e+00;7.077638e+00;9.085166e+00;-2.835047e+00;4.740428e+00;-5.709694e+00;0;1.200716e-03;0;0;0;0;4.166892e-03;-2.022052e-02;2.512953e-04;-1.736122e-03;4.585369e-01;1.614795e+00;-1.601171e-01;1.932988e+00;2.209849e-01;9.324270e-01;-8.744164e-01;-1.929175e+00;-1.366333e+00;-2.095693e+00;1.536041e+00;2.519115e+00;3.614304e+00;9.884459e-01
'unknown';0.200000;0;6.431950e-01;0;0;0;-100;8.907089e-02;4.356246e+00;2.463364e-03;7.715278e-01;-2.747401e+01;1.651231e+01;-1.252819e+01;-6.249569e+00;1.793940e+00;5.569582e+00;7.750579e+00;3.868093e+00;5.400631e+00;2.742248e+00;8.259492e+00;-1.991942e+00;7.792079e+00;-4.888176e+00;0;-6.857472e-04;0;0;0;0;2.452968e-03;-1.473780e-01;1.573836e-04;-2.000002e-02;6.826849e-01;9.047288e-01;-2.534533e-01;6.230870e-01;3.988946e-01;-9.096943e-01;-7.272280e-01;-4.042178e+00;-3.912734e+00;-3.168989e+00;-2.639570e+00;2.487231e+00;3.802177e+00;5.505724e-01
'unknown';0.210000;0;6.293442e-01;0;0;0;-100;8.916298e-02;4.111880e+00;2.540572e-03;7.493055e-01;-2.701370e+01;1.782700e+01;-1.103624e+01;-3.286323e+00;6.299863e+00;5.685387e+00;9.619540e+00;3.525009e+00;-1.461811e+00;-3.606045e+00;-1.635204e+00;3.063633e+00;1.191024e+01;-5.569537e+00;0;-1.653765e-03;0;0;0;0;1.780500e-03;-2.296273e-01;5.599770e-05;-4.715278e-02;1.180897e+00;-1.016620e-01;-8.997518e-01;5.704061e-01;-3.948192e-01;-2.241154e+00;-1.750844e+00;-3.965491e+00;-5.550793e+00;-2.085864e+00;-4.924872e+00;1.494937e+00;9.925104e-01;-5.925781e-01
'unknown';0.220000;0;5.726963e-01;0;0;0;-100;9.120592e-02;3.826027e+00;2.544631e-03;6.819444e-01;-2.572035e+01;1.390345e+01;-1.532576e+01;-6.556442e+00;5.139040e+00;1.306471e+00;8.731600e+00;-6.594191e+00;-1.033147e+01;-3.702215e+00;-5.831535e+00;2.787001e+00;1.153578e+01;-4.824410e+00;0;-1.658083e-03;0;0;0;0;-1.396671e-04;-2.697321e-01;-3.584095e-05;-7.729166e-02;1.254954e+00;-4.134440e-01;-1.024443e+00;6.375777e-01;-5.331467e-01;-1.781866e+00;-3.631839e+00;-4.647760e-01;-2.750335e+00;9.913810e-01;-3.015423e+00;-6.429420e-02;-7.025179e-01;-1.648149e+00
'unknown';0.230000;0;5.681863e-01;0;0;0;-100;9.324875e-02;3.564343e+00;2.485804e-03;5.861111e-01;-2.418644e+01;1.528097e+01;-1.605231e+01;-2.120652e+00;8.396805e-01;-1.353657e+00;-1.066473e+00;-3.388502e+00;-1.178049e+01;-1.294479e-01;-8.493684e+00;2.250168e+00;7.831132e+00;-8.704468e+00;0;-6.804875e-04;0;0;0;0;-2.861691e-03;-2.866034e-01;-1.477458e-04;-1.009722e-01;1.874059e+00;6.690826e-01;6.788216e-02;1.825056e-01;-9.965145e-01;-2.935234e-01;-3.909043e+00;2.266441e+00;-6.449048e-01;2.595318e+00;-2.181154e+00;-2.423994e+00;-2.665815e+00;-1.790366e+00
'unknown';0.240000;0;5.527339e-01;0;0;0;-100;8.632968e-02;3.281354e+00;2.311543e-03;4.666667e-01;-2.261287e+01;1.571810e+01;-1.514237e+01;-3.644516e+00;1.858298e+00;1.797758e-01;-5.065610e+00;5.000968e+00;-3.191706e+00;5.960855e+00;-3.388385e+00;-1.906680e+00;6.319044e+00;-1.156145e+01;0;6.746079e-04;0;0;0;0;-6.585706e-03;-3.164065e-01;-9.285349e-05;-1.097917e-01;4.178559e+00;2.346228e+00;2.532484e+00;-3.755296e-01;-6.665955e-01;2.636405e-01;-2.887419e+00;3.204255e+00;4.613875e-01;1.187549e+00;-3.426929e+00;-2.527915e+00;-3.640469e+00;-7.884381e-01
'unknown';0.250000;0;5.862474e-01;0;0;0;-100;7.729265e-02;2.951199e+00;1.918387e-03;3.520833e-01;-1.919714e+01;2.026509e+01;-1.078852e+01;-3.829758e+00;2.957662e+00;4.781118e+00;-3.027071e+00;9.059636e+00;-8.256219e+00;4.539011e+00;-1.376255e+01;-6.709498e+00;1.189533e+00;-1.115284e+01;0;1.238458e-03;0;0;0;0;-3.265308e-03;-3.205088e-01;2.620948e-04;-1.056945e-01;7.099247e+00;2.783420e+00;4.033082e+00;-2.941278e+00;-1.979458e+00;-6.732991e-01;-1.252523e+00;-1.713516e+00;2.223730e-02;-1.010417e+00;-4.855314e+00;-7.387258e-01;-3.781376e+00;1.280445e+00
'unknown';0.260000;0;6.196582e-01;0;0;0;-100;6.625544e-02;2.550567e+00;2.364072e-03;2.500000e-01;-7.322206e+00;2.314254e+01;-5.295231e+00;-7.579537e+00;7.470713e-01;-4.427137e-01;-4.725199e+00;3.203012e+00;-9.786670e+00;-9.870163e-02;-2.033175e+01;-5.372744e+00;-3.345773e+00;-7.542413e+00;0;1.600880e-03;0;0;0;3.865296e-01;1.046110e-02;-2.067046e-01;9.598430e-04;-8.750000e-02;9.067872e+00;2.305360e+00;4.328582e+00;-4.946777e+00;-3.999476e+00;-3.412875e+00;-1.515238e+00;-7.182517e+00;1.512932e+00;-2.482855e+00;-4.091222e+00;2.319445e+00;-3.547353e+00;2.606750e+00
'unknown';0.270000;0;6.437084e-01;0;0;0;-100;8.695932e-02;2.327193e+00;3.770013e-03;1.659722e-01;3.664462e+00;2.548586e+01;-8.104665e-01;-1.485953e+01;-8.501997e+00;-4.408908e+00;-7.499292e+00;-1.105710e+01;-8.371819e+00;-2.151752e+00;-2.429857e+01;2.895705e-01;-6.243338e+00;-4.311766e+00;0;1.396721e-03;0;0;0;9.087595e-01;2.703391e-02;8.359504e-02;1.724932e-03;-6.152778e-02;7.688086e+00;5.107428e-01;2.823941e+00;-6.854707e+00;-4.589311e+00;-4.500348e+00;-8.226253e-01;-8.441521e+00;5.647718e+00;-1.916361e+00;-5.518208e-02;3.610327e+00;-2.232570e+00;2.432137e+00
'unknown';0.280000;0;6.728852e-01;0;0;0;-6.308643e+01;1.338018e-01;2.559834e+00;6.184945e-03;1.222222e-01;1.129569e+01;2.463452e+01;1.511509e+00;-2.286352e+01;-1.240925e+01;-1.228959e+01;-1.040569e+01;-2.085324e+01;4.430756e+00;-3.108039e+00;-1.857648e+01;6.191011e+00;-7.701284e+00;-1.948241e+00;0;1.152932e-03;0;0;0;1.370994e+00;4.130238e-02;4.928835e-01;2.280504e-03;-3.229167e-02;3.624135e+00;-1.024350e+00;1.046543e+00;-7.005521e+00;-2.760879e+00;-3.336798e+00;1.065089e+00;-6.027415e+00;7.254622e+00;-1.036076e+00;2.758893e+00;1.919557e+00;-1.712551e+00;1.146228e+00
'unknown';0.290000;1.434121e+02;6.965125e-01;0;0;0;-2.712646e+01;1.786890e-01;3.364541e+00;8.632608e-03;1.083333e-01;9.934340e+00;2.207281e+01;-7.218724e-02;-3.046130e+01;-1.341073e+01;-1.179718e+01;-4.299953e+00;-2.111984e+01;1.287366e+01;-3.538126e+00;-1.491609e+01;5.560258e+00;-7.795563e+00;-1.789243e+00;0;7.807430e-04;0;0;0;1.296065e+00;4.262468e-02;8.153313e-01;2.576953e-03;-9.513888e-03;3.467055e-01;-1.811605e+00;-2.477524e-01;-5.518141e+00;-5.714595e-01;-1.804685e+00;2.540979e+00;-1.319341e+00;6.782157e+00;-5.263381e-02;3.893298e+00;-8.116509e-01;-2.491853e+00;-2.447654e-02
'unknown';0.300000;1.420624e+02;7.120082e-01;0;0;0;8.203123e+00;2.269025e-01;4.496311e+00;1.133529e-02;1.173611e-01;7.663530e+00;1.972731e+01;-4.316568e-01;-3.480626e+01;-1.060295e+01;-1.343257e+01;-9.994243e-01;-2.190269e+01;1.586370e+01;-4.585895e+00;-1.122852e+01;1.589697e+00;-1.113242e+01;-3.072535e+00;-2.433172e-02;3.954899e-04;0;0;0;7.764992e-01;3.509972e-02;8.649207e-01;2.507416e-03;6.944455e-04;-9.589367e-01;-1.709419e+00;-8.341635e-01;-3.202845e+00;-2.047465e-01;-2.784103e-01;2.707054e+00;1.978897e+00;4.950528e+00;1.120837e+00;3.321533e+00;-2.275401e+00;-3.253443e+00;-6.189176e-01
'unknown';0.310000;1.380104e+02;7.084672e-01;0;0;3.599681e-01;7.570428e+00;2.535324e-01;5.435612e+00;1.407960e-02;1.208333e-01;7.214069e+00;1.888143e+01;-1.077645e+00;-3.647887e+01;-1.226244e+01;-1.286084e+01;5.024709e-01;-1.712908e+01;1.982250e+01;-1.675993e+00;-8.506063e+00;-1.468027e+00;-1.698704e+01;-3.872001e+00;-1.763582e-01;2.631052e-04;0;0;0;3.158208e-01;1.999657e-02;6.035371e-01;1.956599e-03;2.013888e-03;-1.965651e-02;-1.084611e+00;-7.819808e-01;-7.591934e-01;1.820273e-01;-9.348679e-01;1.127875e+00;4.195457e+00;2.951616e+00;2.658004e+00;2.716880e+00;-2.127225e+00;-3.119645e+00;-4.084539e-01
'unknown';0.320000;1.324261e+02;7.117960e-01;6.297239e-02;0;2.644739e-01;9.639040e+00;2.718787e-01;5.848902e+00;1.599853e-02;1.194445e-01;7.861139e+00;1.768311e+01;-2.156579e+00;-3.586896e+01;-1.400713e+01;-1.314981e+01;7.283691e-01;-1.295414e+01;2.570898e+01;1.565080e+00;-5.173834e+00;-1.671849e+00;-1.937276e+01;-4.001450e+00;-1.803169e-01;3.868193e-04;0;0;-1.110398e-03;3.738646e-02;-8.930266e-05;1.515900e-01;7.822177e-04;2.083324e-04;1.292345e+00;-3.904194e-01;-1.576786e+00;9.295052e-01;1.322673e+00;-9.513259e-01;-9.238333e-02;5.776765e+00;2.331911e-01;3.566840e+00;2.625025e+00;-9.319417e-01;-1.375418e+00;1.650917e-01
'unknown';0.330000;1.273318e+02;7.284543e-01;6.297239e-02;0;7.348554e-02;1.115946e+01;2.561837e-01;5.705931e+00;1.608399e-02;1.173611e-01;9.737252e+00;1.767185e+01;-3.119630e+00;-3.372592e+01;-1.079851e+01;-1.661290e+01;4.755257e-01;-4.616831e+00;2.270910e+01;6.676409e+00;-4.359038e+00;-3.445095e+00;-1.927361e+01;-3.367055e+00;-1.313359e-01;5.309344e-04;-4.126248e-05;0;-2.638437e-03;2.075648e-02;-1.593791e-02;-2.943364e-01;-6.274884e-04;7.638864e-04;2.225153e+00;-2.669329e-01;-2.420993e+00;1.650777e+00;3.510940e+00;-6.002454e-01;4.024281e-01;5.370143e+00;-3.856109e+00;3.286023e+00;2.979140e+00;-5.604160e-01;9.070827e-01;5.620852e-01
'unknown';0.340000;1.246818e+02;7.517209e-01;5.166647e-02;0;7.905149e-02;1.132493e+01;2.251303e-01;5.119101e+00;1.424419e-02;1.201389e-01;1.286366e+01;1.838001e+01;-7.294594e+00;-3.153520e+01;-4.721557e+00;-1.631317e+01;-1.447868e+00;7.250029e-01;1.558635e+01;9.072105e+00;-1.769136e-01;-2.081477e+00;-1.686622e+01;-2.499550e+00;-6.104323e-02;4.462144e-04;-1.246261e-04;0;-1.295152e-03;1.207987e-03;-2.526083e-02;-6.048277e-01;-1.666955e-03;3.055556e-03;2.507015e+00;1.234144e-01;-3.077546e+00;1.203049e+00;4.714785e+00;1.771817e+00;9.743385e-01;4.426995e+00;-6.637589e+00;2.811265e+00;2.218217e+00;-1.006314e+00;1.827449e+00;1.043193e+00
'unknown';0.350000;1.242836e+02;7.609773e-01;4.036055e-02;3.208811e-02;8.461743e-02;9.674904e+00;1.972171e-01;4.328830e+00;1.181933e-02;1.243056e-01;1.583857e+01;1.719832e+01;-1.061360e+01;-3.039186e+01;6.494687e-01;-1.428039e+01;3.602730e+00;2.882065e+00;5.603264e+00;1.100061e+01;3.891178e+00;-4.065293e+00;-1.370490e+01;-1.812526e+00;-2.223604e-03;2.424876e-04;-9.270266e-05;0;-2.711244e-05;-2.312226e-03;-2.215065e-02;-7.216490e-01;-1.920304e-03;5.000001e-03;1.716705e+00;-1.240902e-02;-2.196922e+00;-2.514763e-02;4.310888e+00;3.657457e+00;1.711690e+00;3.106905e+00;-5.395341e+00;2.040761e+00;-2.833868e-01;-1.617319e+00;1.843333e+00;1.704753e+00
'unknown';0.360000;1.251295e+02;7.611280e-01;5.564671e-02;4.903817e-02;6.204486e-02;1.056795e+01;1.750579e-01;3.513314e+00;9.796077e-03;1.312500e-01;1.734555e+01;1.853695e+01;-1.379732e+01;-3.152074e+01;3.842808e+00;-5.456977e+00;4.036460e+00;5.431386e+00;1.073954e+00;1.345930e+01;1.792145e+00;-6.393321e+00;-1.301987e+01;4.372528e-01;3.074232e-02;1.036852e-04;-6.839640e-05;1.215088e-04;-6.667330e-05;7.262021e-03;-1.431742e-02;-6.672248e-01;-1.476589e-03;5.555556e-03;6.077205e-01;-5.966606e-02;-5.364844e-01;-1.635096e+00;2.924027e+00;5.276697e+00;8.484438e-01;2.590891e+00;-3.274771e+00;2.042722e+00;-3.276124e+00;-2.249182e+00;1.430842e+00;2.372243e+00
'unknown';0.370000;1.267588e+02;7.624275e-01;4.596443e-02;7.461620e-02;7.752886e-02;1.115180e+01;1.704667e-01;2.900579e+00;8.706521e-03;1.368055e-01;1.607983e+01;1.753133e+01;-1.085287e+01;-3.385889e+01;6.473749e+00;-3.753712e+00;6.291811e+00;8.564503e+00;2.988593e+00;1.468661e+01;-6.760501e+00;-9.375771e+00;-1.198012e+01;3.688308e+00;4.313773e-02;1.106549e-04;-2.279940e-04;9.607150e-05;9.210791e-05;1.331407e-02;-5.951411e-03;-5.138109e-01;-8.062982e-04;5.208333e-03;-2.237884e-01;-5.757292e-01;5.339883e-01;-1.812063e+00;1.348784e+00;5.556100e+00;-7.648333e-01;1.406994e+00;-1.251195e+00;1.147802e+00;-3.964352e+00;-1.207066e+00;1.059214e+00;1.936495e+00
